name,rating,review_count,price,categories,address,latitude,longitude,yelp_url,score,price_level
Molly Tea,4.5,1547,$$,"Bubble Tea, Coffee & Tea","425 W Valley Blvd, Ste 101-102, San Gabriel, CA 91776",34.0796986,-118.10643874560476,https://www.yelp.com/biz/molly-tea-san-gabriel-3?adjust_creative=WYnczc9sYXmFLFotwsvgBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WYnczc9sYXmFLFotwsvgBA,33.05123574367353,Medium
BenGong’s Tea,4.7,362,$$,"Bubble Tea, Coffee & Tea, Beverage Store","500 E Valley Blvd, San Gabriel, CA 91776",34.07967107399442,-118.0945345,https://www.yelp.com/biz/bengong-s-tea-san-gabriel-5?adjust_creative=WYnczc9sYXmFLFotwsvgBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WYnczc9sYXmFLFotwsvgBA,27.7036933210448,Medium
Chicha San Chen,4.0,1326,$,"Bubble Tea, Taiwanese, Tea Rooms","301 W Valley Blvd, Ste 116, San Gabriel, CA 91776",34.08006526086621,-118.10435566835947,https://www.yelp.com/biz/chicha-san-chen-san-gabriel-13?adjust_creative=WYnczc9sYXmFLFotwsvgBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WYnczc9sYXmFLFotwsvgBA,28.76270413732883,Low
Formosa Aroma,4.3,164,$$,"Bubble Tea, Tea Rooms, Juice Bars & Smoothies","5570 Rosemead Blvd, Unit 130, Temple City, CA 91780",34.10112,-118.07287,https://www.yelp.com/biz/formosa-aroma-temple-city-2?adjust_creative=WYnczc9sYXmFLFotwsvgBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WYnczc9sYXmFLFotwsvgBA,21.955565537772493,Medium
3Catea,3.9,317,$$,Bubble Tea,"432 E Valley Blvd, Ste D, San Gabriel, CA 91776",34.07964,-118.09497,https://www.yelp.com/biz/3catea-san-gabriel-5?adjust_creative=WYnczc9sYXmFLFotwsvgBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WYnczc9sYXmFLFotwsvgBA,22.47200039284269,Medium
Torotea,4.4,397,,"Coffee & Tea, Tea Rooms, Bubble Tea","2322 Huntington Dr, San Marino, CA 91108",34.122233,-118.104203,https://www.yelp.com/biz/torotea-san-marino?adjust_creative=WYnczc9sYXmFLFotwsvgBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WYnczc9sYXmFLFotwsvgBA,26.340388823251526,Unknown
ALittle Tea,3.8,308,$,Bubble Tea,"158 W Valley Blvd, San Gabriel, CA 91776",34.07940524645661,-118.1021386272315,https://www.yelp.com/biz/alittle-tea-san-gabriel?adjust_creative=WYnczc9sYXmFLFotwsvgBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WYnczc9sYXmFLFotwsvgBA,21.786696852211435,Low
UG Tea,4.1,43,$$,"Bubble Tea, Coffee & Tea","308 W Valley Blvd, San Gabriel, CA 91776",34.079251,-118.103936,https://www.yelp.com/biz/ug-tea-san-gabriel-3?adjust_creative=WYnczc9sYXmFLFotwsvgBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WYnczc9sYXmFLFotwsvgBA,15.515177499064869,Medium
Yi Fang Taiwan Fruit Tea,4.0,529,$$,"Bubble Tea, Tea Rooms, Juice Bars & Smoothies","534 E Valley Blvd, Unit 6, San Gabriel, CA 91776",34.0796807,-118.0934797,https://www.yelp.com/biz/yi-fang-taiwan-fruit-tea-san-gabriel?adjust_creative=WYnczc9sYXmFLFotwsvgBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WYnczc9sYXmFLFotwsvgBA,25.09150802618467,Medium
Formosa Aroma,4.2,555,$$,"Bubble Tea, Tea Rooms, Juice Bars & Smoothies","560 W Main St, Ste B, Alhambra, CA 91801",34.0921154395301,-118.13241251592623,https://www.yelp.com/biz/formosa-aroma-alhambra?adjust_creative=WYnczc9sYXmFLFotwsvgBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=WYnczc9sYXmFLFotwsvgBA,26.547226835852445,Medium
